,city,date,moonphase,sunrise,sunset
421,Miami,2023-06-23,0.18,06:30:38,20:15:30
422,Miami,2023-06-24,0.21,06:30:53,20:15:40
423,Miami,2023-06-25,0.24,06:31:09,20:15:49
424,Miami,2023-06-26,0.25,06:31:26,20:15:56
425,Miami,2023-06-27,0.31,06:31:44,20:16:03
426,Miami,2023-06-28,0.34,06:32:02,20:16:09
427,Miami,2023-06-29,0.38,06:32:21,20:16:13
428,Miami,2023-06-30,0.41,06:32:41,20:16:16
429,Miami,2023-07-01,0.44,06:33:02,20:16:19
430,Miami,2023-07-02,0.47,06:33:24,20:16:19
431,Miami,2023-07-03,0.5,06:33:46,20:16:19
432,Miami,2023-07-04,0.54,06:34:08,20:16:17
433,Miami,2023-07-05,0.58,06:34:32,20:16:15
434,Miami,2023-07-06,0.61,06:34:56,20:16:11
435,Miami,2023-07-07,0.65,06:35:20,20:16:05
436,Miami,2023-07-08,0.68,06:35:45,20:15:59
437,Miami,2023-07-09,0.75,06:36:10,20:15:51
438,Miami,2023-07-10,0.75,06:36:36,20:15:42
439,Miami,2023-07-11,0.79,06:37:03,20:15:31
440,Miami,2023-07-12,0.82,06:37:29,20:15:19
441,Miami,2023-07-13,0.86,06:37:56,20:15:06
442,Miami,2023-07-14,0.89,06:38:24,20:14:52
443,Miami,2023-07-15,0.93,06:38:51,20:14:36
444,Miami,2023-07-16,0.96,06:39:19,20:14:20
445,Miami,2023-07-17,0.0,06:39:48,20:14:01
446,Miami,2023-07-18,0.03,06:40:16,20:13:42
447,Miami,2023-07-19,0.06,06:40:45,20:13:21
448,Miami,2023-07-20,0.1,06:41:14,20:12:59
449,Miami,2023-07-21,0.13,06:41:43,20:12:36
450,Miami,2023-07-22,0.16,06:42:12,20:12:11
451,Miami,2023-07-23,0.2,06:42:41,20:11:45
452,Miami,2023-07-24,0.23,06:43:10,20:11:18
453,Miami,2023-07-25,0.25,06:43:40,20:10:50
454,Miami,2023-07-26,0.3,06:44:09,20:10:21
455,Miami,2023-07-27,0.33,06:44:39,20:09:50
456,Miami,2023-07-28,0.36,06:45:08,20:09:18
457,Miami,2023-07-29,0.4,06:45:38,20:08:45
458,Miami,2023-07-30,0.43,06:46:07,20:08:11
459,Miami,2023-07-31,0.46,06:46:36,20:07:35
460,Houston,2023-05-01,0.37,06:39:08,19:58:31
461,Houston,2023-05-02,0.4,06:38:16,19:59:10
462,Houston,2023-05-03,0.43,06:37:25,19:59:48
