,city,date,precipitation,precipitation_type,severe_risk
425,Miami,6/27/23,0.027,['rain'],60
426,Miami,6/28/23,0.008,['rain'],60
427,Miami,6/29/23,0.248,['rain'],60
428,Miami,6/30/23,0.188,['rain'],60
429,Miami,7/1/23,0.397,['rain'],60
430,Miami,7/2/23,2.313,['rain'],60
431,Miami,7/3/23,0.478,['rain'],75
432,Miami,7/4/23,0.044,['rain'],75
433,Miami,7/5/23,0.008,['rain'],75
434,Miami,7/6/23,0.061,['rain'],75
435,Miami,7/7/23,0.251,['rain'],60
436,Miami,7/8/23,0.127,['rain'],75
437,Miami,7/9/23,0,,75
438,Miami,7/10/23,0.006,['rain'],75
439,Miami,7/11/23,0,,75
440,Miami,7/12/23,0.003,['rain'],75
441,Miami,7/13/23,0.171,['rain'],75
442,Miami,7/14/23,0.475,['rain'],60
443,Miami,7/15/23,0.125,['rain'],75
444,Miami,7/16/23,0.082,['rain'],75
445,Miami,7/17/23,0.212,['rain'],75
446,Miami,7/18/23,0.112,['rain'],75
447,Miami,7/19/23,0.161,['rain'],75
448,Miami,7/20/23,0.133,['rain'],75
449,Miami,7/21/23,0.011,['rain'],100
450,Miami,7/22/23,0,,100
451,Miami,7/23/23,0,,100
452,Miami,7/24/23,0,,100
453,Miami,7/25/23,0,,100
454,Miami,7/26/23,0.151,['rain'],75
455,Miami,7/27/23,0.173,['rain'],60
456,Miami,7/28/23,0.457,['rain'],75
457,Miami,7/29/23,0.02,['rain'],75
458,Miami,7/30/23,0,,75
459,Miami,7/31/23,0.022,['rain'],75
460,Houston,5/1/23,0,,10
461,Houston,5/2/23,0,,5
462,Houston,5/3/23,0,,10
463,Houston,5/4/23,0,,60
464,Houston,5/5/23,0,,100
465,Houston,5/6/23,0.025,['rain'],100
466,Houston,5/7/23,0.224,['rain'],75
467,Houston,5/8/23,0.039,['rain'],75
468,Houston,5/9/23,0.239,['rain'],75
469,Houston,5/10/23,0.974,['rain'],30
470,Houston,5/11/23,0,,100
471,Houston,5/12/23,0.002,['rain'],100
472,Houston,5/13/23,0.149,['rain'],75
473,Houston,5/14/23,0.963,['rain'],30
474,Houston,5/15/23,0.01,['rain'],60
475,Houston,5/16/23,0.031,['rain'],60
476,Houston,5/17/23,0,,30
477,Houston,5/18/23,0,,60
478,Houston,5/19/23,0,,60
479,Houston,5/20/23,0.003,['rain'],30
480,Houston,5/21/23,0,,10
481,Houston,5/22/23,0,,30
482,Houston,5/23/23,0,,30
483,Houston,5/24/23,0,,30
484,Houston,5/25/23,0,,10
485,Houston,5/26/23,0,,10
486,Houston,5/27/23,0,,10
487,Houston,5/28/23,0,,10
488,Houston,5/29/23,0.078,['rain'],30
489,Houston,5/30/23,0.002,['rain'],30
490,Houston,5/31/23,0.003,['rain'],30
491,Houston,6/1/23,0,,10
492,Houston,6/2/23,0.006,['rain'],10
493,Houston,6/3/23,0,,30
494,Houston,6/4/23,0.244,['rain'],30
495,Houston,6/5/23,0.28,['rain'],30
496,Houston,6/6/23,0.006,['rain'],30
497,Houston,6/7/23,0.093,['rain'],30
498,Houston,6/8/23,0.277,['rain'],60
499,Houston,6/9/23,0,,60
500,Houston,6/10/23,0.004,['rain'],75
501,Houston,6/11/23,0.004,['rain'],100
502,Houston,6/12/23,0,,75
503,Houston,6/13/23,0,,75
504,Houston,6/14/23,0,,75
505,Houston,6/15/23,0,,100
