,city,latitude,longitude,date,wind_direction,wind_speed,wind_gust
338,Atlanta,33.7483,-84.3911,2023-07-02,279.2,13.0,45.9
339,Atlanta,33.7483,-84.3911,2023-07-03,246.2,11.7,24.2
340,Atlanta,33.7483,-84.3911,2023-07-04,294.1,10.0,19.7
341,Atlanta,33.7483,-84.3911,2023-07-05,328.6,11.6,39.1
342,Atlanta,33.7483,-84.3911,2023-07-06,304.9,11.4,23.0
343,Atlanta,33.7483,-84.3911,2023-07-07,293.4,10.5,25.3
344,Atlanta,33.7483,-84.3911,2023-07-08,281.9,12.8,20.8
345,Atlanta,33.7483,-84.3911,2023-07-09,280.5,13.2,25.7
346,Atlanta,33.7483,-84.3911,2023-07-10,330.8,11.3,21.9
347,Atlanta,33.7483,-84.3911,2023-07-11,292.8,9.8,17.2
348,Atlanta,33.7483,-84.3911,2023-07-12,243.8,8.3,16.1
349,Atlanta,33.7483,-84.3911,2023-07-13,240.3,10.5,21.9
350,Atlanta,33.7483,-84.3911,2023-07-14,278.8,7.8,10.3
351,Atlanta,33.7483,-84.3911,2023-07-15,258.1,14.9,27.3
352,Atlanta,33.7483,-84.3911,2023-07-16,304.2,11.5,19.7
353,Atlanta,33.7483,-84.3911,2023-07-17,338.5,7.9,16.4
354,Atlanta,33.7483,-84.3911,2023-07-18,264.3,10.3,13.9
355,Atlanta,33.7483,-84.3911,2023-07-19,287.5,15.2,26.6
356,Atlanta,33.7483,-84.3911,2023-07-20,271.4,20.6,44.7
357,Atlanta,33.7483,-84.3911,2023-07-21,280.5,15.5,43.6
358,Atlanta,33.7483,-84.3911,2023-07-22,285.8,11.1,21.9
359,Atlanta,33.7483,-84.3911,2023-07-23,316.7,8.6,17.2
360,Atlanta,33.7483,-84.3911,2023-07-24,335.5,11.4,18.3
361,Atlanta,33.7483,-84.3911,2023-07-25,323.8,8.5,11.4
362,Atlanta,33.7483,-84.3911,2023-07-26,349.6,7.6,8.1
363,Atlanta,33.7483,-84.3911,2023-07-27,71.5,7.0,10.3
364,Atlanta,33.7483,-84.3911,2023-07-28,114.5,10.7,34.4
365,Atlanta,33.7483,-84.3911,2023-07-29,325.9,10.3,25.3
366,Atlanta,33.7483,-84.3911,2023-07-30,315.1,13.7,27.7
367,Atlanta,33.7483,-84.3911,2023-07-31,347.7,10.0,20.8
368,Miami,25.7748,-80.1977,2023-05-01,259.4,15.2,22.6
369,Miami,25.7748,-80.1977,2023-05-02,251.0,13.6,21.9
370,Miami,25.7748,-80.1977,2023-05-03,269.9,12.1,20.8
